time_sec,x,y,yaw_rad
1765548011.863654137,-0.213813,-0.205633,0.905365
1765548011.963420868,-0.210687,-0.201749,0.884153
1765548012.063606977,-0.207925,-0.198449,0.861770
1765548012.163627863,-0.204568,-0.194593,0.845054
1765548012.265660763,-0.201092,-0.190775,0.823083
1765548012.363642454,-0.197655,-0.187163,0.801069
1765548012.463626385,-0.194560,-0.184030,0.778934
1765548012.563594580,-0.190765,-0.180345,0.758311
1765548012.663676977,-0.186988,-0.176824,0.740557
1765548012.763635874,-0.183147,-0.173411,0.717364
1765548012.863658190,-0.179839,-0.170582,0.695352
1765548012.963576078,-0.175748,-0.167228,0.674078
1765548013.063595295,-0.171607,-0.163977,0.655552
1765548013.163599730,-0.167448,-0.160874,0.632047
1765548013.263599157,-0.163242,-0.157880,0.609598
1765548013.363588572,-0.158965,-0.154987,0.585739
1765548013.463615656,-0.155611,-0.152810,0.563288
1765548013.563617706,-0.151310,-0.150141,0.545555
1765548013.663739681,-0.146686,-0.147417,0.523070
1765548013.763639450,-0.141963,-0.144766,0.503728
1765548013.863669157,-0.138244,-0.142758,0.484604
1765548013.963635683,-0.133682,-0.140394,0.470463
1765548014.063602448,-0.128897,-0.138022,0.453494
1765548014.163672924,-0.124140,-0.135766,0.436353
1765548014.263660669,-0.120227,-0.133976,0.422707
1765548014.363573313,-0.115291,-0.131810,0.408083
1765548014.463590860,-0.111259,-0.130102,0.395151
1765548014.563504457,-0.106273,-0.128052,0.382492
1765548014.663619280,-0.101473,-0.126148,0.373739
1765548014.763571978,-0.096535,-0.124252,0.361816
1765548014.863801241,-0.091668,-0.122451,0.349508
1765548014.963659525,-0.087737,-0.121042,0.338342
1765548015.063965797,-0.082812,-0.119332,0.328140
1765548015.163630247,-0.077774,-0.117637,0.320192
1765548015.263616085,-0.072912,-0.116054,0.310863
1765548015.363731861,-0.068930,-0.114796,0.299898
1765548015.463555098,-0.063725,-0.113209,0.291763
1765548015.564144373,-0.058869,-0.111780,0.282280
1765548015.663527489,-0.053806,-0.110336,0.274922
1765548015.763592958,-0.048804,-0.108955,0.265317
1765548015.863614082,-0.044712,-0.107899,0.232725
1765548015.963690996,-0.039810,-0.106858,0.171476
1765548016.063587427,-0.034530,-0.106056,0.124092
1765548016.163605928,-0.029399,-0.105482,0.094470
1765548016.263486385,-0.024280,-0.105040,0.076295
1765548016.363550663,-0.019229,-0.104713,0.058618
1765548016.463526011,-0.014074,-0.104421,0.056726
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
1765548016.563530207,-0.008920,-0.104107,0.064115
